                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49118,                 1.0679,                0.90357,                0.83462,                  0.725,                  0.776,                0.72301,                0.45626,                0.92732,                0.86515,              0.0016092,              0.0016092,              0.0016092
                     37,                0.47232,                0.89033,                0.88106,                0.78462,                    0.6,                0.71978,                0.69939,                 0.4289,                 1.0243,                0.86416,              0.0016076,              0.0016076,              0.0016076
                     38,                0.48291,                0.90617,                0.88761,                0.84524,                   0.65,                0.77929,                0.74093,                0.45473,                0.95651,                0.86946,              0.0016059,              0.0016059,              0.0016059
                     39,                 0.5136,                 1.0455,                0.89679,                0.88333,                   0.85,                  0.904,                0.84432,                0.47018,                0.74735,                0.87166,              0.0016043,              0.0016043,              0.0016043
                     40,                0.49033,                0.87837,                0.87984,                0.91667,                  0.775,                0.87591,                0.83015,                0.39551,                0.81532,                0.84568,              0.0016026,              0.0016026,              0.0016026
                     41,                0.48608,                0.98842,                0.88128,                0.91667,                  0.675,                  0.835,                0.79023,                0.39177,                0.88745,                 0.8379,               0.001601,               0.001601,               0.001601
                     42,                0.49346,                0.94434,                0.89748,                0.91667,                  0.725,                   0.86,                0.82592,                0.40618,                0.87549,                0.85198,              0.0015993,              0.0015993,              0.0015993
                     43,                0.48548,                0.91185,                0.86274,                0.88462,                    0.8,                 0.8975,                0.83776,                0.40443,                0.79235,                0.85691,              0.0015977,              0.0015977,              0.0015977
                     44,                0.54087,                0.94075,                0.91221,                0.88462,                  0.675,                0.82667,                0.76297,                0.39113,                0.84191,                0.86623,               0.001596,               0.001596,               0.001596
                     45,                0.54391,                0.90975,                0.92559,                0.87467,                   0.75,                0.85712,                0.81181,                0.43653,                0.73271,                0.88504,              0.0015944,              0.0015944,              0.0015944
                     46,                0.53099,                0.88125,                0.90211,                0.84582,                  0.775,                0.86524,                0.81216,                0.39204,                0.70634,                0.86332,              0.0015927,              0.0015927,              0.0015927
                     47,                0.50923,                  0.898,                0.91613,                0.90799,                0.87458,                0.92222,                0.87253,                0.41969,                0.67511,                0.86451,              0.0015911,              0.0015911,              0.0015911
                     48,                0.50845,                0.90142,                0.91239,                0.92872,                0.89958,                0.93756,                    0.9,                0.41548,                0.71493,                0.87223,              0.0015894,              0.0015894,              0.0015894
                     49,                0.49704,                0.85684,                0.89638,                0.82492,                      1,                0.94996,                0.90891,                0.41232,                0.71345,                0.86609,              0.0015878,              0.0015878,              0.0015878
                     50,                 0.4674,                 0.8826,                0.88374,                0.88051,                0.93182,                0.93499,                0.90055,                0.40095,                0.63859,                0.85357,              0.0015861,              0.0015861,              0.0015861
                     51,                0.43905,                0.81829,                 0.8706,                0.90036,                   0.95,                0.94952,                0.91519,                0.38003,                0.67295,                 0.8514,              0.0015845,              0.0015845,              0.0015845
                     52,                 0.4851,                0.77913,                0.91403,                0.87994,                   0.95,                0.97351,                0.90331,                0.40863,                0.68213,                0.86167,              0.0015828,              0.0015828,              0.0015828
                     53,                  0.477,                0.83541,                0.91987,                0.83333,                      1,                0.97137,                0.91063,                 0.3968,                0.58228,                0.85057,              0.0015812,              0.0015812,              0.0015812
                     54,                0.45485,                0.75699,                 0.8751,                0.82576,                   0.95,                0.95106,                0.89106,                0.41151,                0.57259,                0.85495,              0.0015795,              0.0015795,              0.0015795
                     55,                0.48369,                0.81194,                 0.8825,                0.91667,                0.79015,                0.88844,                0.82706,                0.46345,                0.63887,                0.86215,              0.0015779,              0.0015779,              0.0015779
                     56,                0.49836,                0.86631,                 0.9065,                0.81767,                   0.75,                0.82363,                0.78397,                0.40631,                 0.7449,                0.84571,              0.0015762,              0.0015762,              0.0015762
                     57,                0.48023,                0.78521,                0.91688,                0.84906,                0.79838,                0.86271,                0.82399,                0.39251,                0.68668,                0.84117,              0.0015746,              0.0015746,              0.0015746
                     58,                0.46835,                0.77816,                0.90125,                0.84343,                   0.85,                0.88789,                0.83668,                0.37568,                0.61392,                0.84274,              0.0015729,              0.0015729,              0.0015729
                     59,                 0.5175,                 0.8307,                0.90226,                0.83333,                      1,                0.96583,                0.92548,                0.37834,                0.58505,                0.83837,              0.0015713,              0.0015713,              0.0015713
                     60,                0.49116,                0.81562,                0.92512,                0.82576,                   0.95,                0.95155,                0.89166,                0.36635,                0.56646,                0.83872,              0.0015696,              0.0015696,              0.0015696
                     61,                0.47181,                0.84678,                0.90262,                0.85417,                   0.85,                0.90254,                 0.8472,                0.37493,                0.61259,                0.84199,               0.001568,               0.001568,               0.001568
                     62,                0.52345,                0.89192,                0.92611,                0.87121,                   0.75,                0.85636,                0.81356,                0.38735,                0.62218,                0.84413,              0.0015663,              0.0015663,              0.0015663
                     63,                0.50274,                0.82281,                0.88213,                0.88747,                   0.75,                0.84443,                0.80404,                0.34807,                0.56931,                0.83668,              0.0015647,              0.0015647,              0.0015647
                     64,                0.45104,                0.71097,                0.87316,                0.87121,                  0.875,                0.90191,                0.87284,                0.34622,                0.53199,                0.84055,               0.001563,               0.001563,               0.001563
                     65,                 0.5165,                0.78858,                0.93031,                0.84585,                   0.95,                0.94099,                 0.8874,                0.40422,                  0.534,                 0.8546,              0.0015614,              0.0015614,              0.0015614
                     66,                0.48499,                0.77103,                0.89816,                0.90191,                  0.925,                0.94335,                0.92315,                0.33862,                0.49644,                0.83545,              0.0015597,              0.0015597,              0.0015597
                     67,                0.51497,                0.78294,                0.92357,                0.90693,                  0.975,                0.96894,                0.93226,                0.36664,                0.50057,                0.84065,              0.0015581,              0.0015581,              0.0015581
                     68,                0.47278,                0.67401,                0.88161,                0.90693,                  0.975,                0.96894,                0.92973,                0.36222,                0.50522,                0.83785,              0.0015564,              0.0015564,              0.0015564
                     69,                0.45759,                0.75741,                0.91007,                0.90455,                   0.95,                0.95316,                0.89575,                0.38311,                0.50998,                0.84626,              0.0015548,              0.0015548,              0.0015548
                     70,                0.45301,                0.67465,                0.89405,                0.86364,                   0.95,                0.94654,                0.89195,                0.38694,                0.51598,                0.84818,              0.0015531,              0.0015531,              0.0015531
                     71,                0.43853,                0.66573,                0.88976,                0.85931,                  0.925,                0.93065,                0.88179,                0.40117,                0.52683,                0.86522,              0.0015515,              0.0015515,              0.0015515
                     72,                0.44612,                0.67558,                0.86115,                0.91667,                  0.825,                0.90091,                0.83012,                0.38402,                0.59346,                0.85448,              0.0015498,              0.0015498,              0.0015498
                     73,                0.44226,                0.74936,                0.88879,                0.91667,                  0.825,                   0.91,                0.88323,                 0.3659,                0.61182,                 0.8353,              0.0015482,              0.0015482,              0.0015482
                     74,                0.44498,                0.75698,                0.88762,                0.86208,                  0.925,                0.94011,                0.89528,                0.35986,                0.49941,                0.83076,              0.0015465,              0.0015465,              0.0015465
